student_id;course_id;tutor_id;grade;semester
s1;c1;t1;A;Summer 2022
s1;c2;t2;A;Winter 2022
s1;c3;t3;A;Summer 2023
;;t1;A;Winter 2023
s1;c7;t1;A;Summer 2024
s1;c10;t1;A;Winter 2024
s2;c1;t1;A;Summer 2022
s2;c2;t2;A;Winter 2022
;;t3;C;Summer 2023
;;t2;A;Winter 2023
s2;c8;t2;F;Summer 2024
s2;c11;t2;B;Winter 2024
;c1;t1;C;Summer 2022
s3;c2;t2;C;Winter 2022
s3;c3;t3;F;Summer 2023
s3;c6;t3;A;Winter 2023
s3;c9;t4;A;Summer 2024
;c12;t4;A;Winter 2024
s4;c1;t1;B;Winter 2022
;c2;t2;F;Summer 2023
s4;c3;t3;D;Winter 2023
s4;c4;t1;A;Summer 2024
s4;c7;t1;A;Winter 2024
s5;c1;t1;B;Winter 2022
s5;c2;t2;A;Summer 2023
s5;c3;t3;B;Winter 2023
s5;c5;t2;A;Summer 2024
s5;;t2;B;Winter 2024
s6;c1;t1;B;Summer 2023
s6;;t2;B;Winter 2023
s6;c3;t4;F;Summer 2024
s6;c3;t4;B;Winter 2024
s7;c1;t1;C;Summer 2023
s7;c2;t2;F;Winter 2023
s7;c3;t4;F;Summer 2024
s7;c6;t3;A;Winter 2024
s8;c1;t1;F;Winter 2023
s8;c1;t1;A;Summer 2024
s8;c2;t2;F;Winter 2024
s9;c1;t1;A;Summer 2024
s9;c2;t2;C;Winter 2024
s10;c1;t1;A;Winter 2024
s3;c12;t4;A;Winter 2024
s4;c2;t2;B;Summer 2023
s5;c8;t2;F;Winter 2024
s6;c2;t2;B;Winter 2023
s1;c4;t1;A;Winter 2023
s1;c10;t1;A;Winter 2024
s2;c5;t2;A;Winter 2023
s3;c1;t1;C;Summer 2022